Symbol1,GeneID1,Type1,Symbol1,GeneID1,Type1,Species,PMID,Source,Experiment,Interaction_type,DB
Ash2l,23808,TF,Tfcp2l1,81879,TF,mouse,20362541,EBI-5738236,0914:association,0007:anti tag coimmunoprecipitation,intact
Atf1,11908,TF,Atf4,11911,TF,mouse,12871976,EBI-10043032,0915:physical association,0006:anti bait coimmunoprecipitation,intact
Atf1,11908,TF,Hmga2,15364,TF,mouse,26045162,EBI-9986179,0914:association,0096:pull down,intact
Atf2,11909,TF,Barx2,12023,TF,mouse,10781615,EBI-2291164,0915:physical association,0096:pull down,intact
Atf2,11909,TF,Barx2,12023,TF,mouse,20211142,469358,0407:direct interaction,0018:two hybrid,biogrid
Atf2,11909,TF,Brca1,12189,TF,mouse,17700520,1033564,0915:physical association,0004:affinity chromatography technology,biogrid
Atf2,11909,TF,Brca1,12189,TF,mouse,17700520,1033570,0407:direct interaction,0096:pull down,biogrid
Atf2,11909,TF,Jdp2,81703,TF,mouse,11231009,795669,0915:physical association,0004:affinity chromatography technology,biogrid
Atf2,11909,TF,Jdp2,81703,TF,mouse,11231009,795670,0915:physical association,0004:affinity chromatography technology,biogrid
Atf2,11909,TF,Jdp2,81703,TF,mouse,12052888,483902,0407:direct interaction,0096:pull down,biogrid
Atf2,11909,TF,Pou2f1,18986,TF,mouse,17700520,1033565,0915:physical association,0004:affinity chromatography technology,biogrid
Atf2,11909,TF,Pou2f1,18986,TF,mouse,17700520,1033568,0407:direct interaction,0096:pull down,biogrid
Atf2,11909,TF,Pou5f1,18999,TF,mouse,20362542,471759,0915:physical association,0004:affinity chromatography technology,biogrid
Atf2,11909,TF,Pou5f1,18999,TF,mouse,20362542,EBI-3043810,0914:association,0676:tandem affinity purification,intact
Atf3,11910,TF,Jun,16476,TF,mouse,21304988,644352,0915:physical association,0004:affinity chromatography technology,biogrid
Atf3,11910,TF,Stat1,20846,TF,mouse,19647793,569063,0915:physical association,0004:affinity chromatography technology,biogrid
Atf4,11911,TF,Atf1,11908,TF,mouse,12871976,EBI-10043032,0915:physical association,0006:anti bait coimmunoprecipitation,intact
Atf4,11911,TF,Creb1,12912,TF,mouse,12871976,EBI-10043076,0915:physical association,0006:anti bait coimmunoprecipitation,intact
Atf4,11911,TF,Fos,14281,TF,mouse,20211142,469359,0407:direct interaction,0018:two hybrid,biogrid
Atf4,11911,TF,Hif1a,15251,TF,mouse,23649506,872822,0915:physical association,0004:affinity chromatography technology,biogrid
Atf4,11911,TF,Hif1a,15251,TF,mouse,23649506,872823,0915:physical association,0004:affinity chromatography technology,biogrid
Atf4,11911,TF,Jun,16476,TF,mouse,20211142,469360,0407:direct interaction,0018:two hybrid,biogrid
Atf4,11911,TF,Satb2,212712,TF,mouse,16751105,818158,0915:physical association,0004:affinity chromatography technology,biogrid
